"Florida Occupational Employment and Wages",,,,,,,,,,,
"Florida - Statewide",,,,,,,,,,,
Occupational,,2009,,"(2010 wage estimates in dollars)",,,,,,,
Code,Title,Employment,,Mean,,Median,,Entry**,,Exp***,
25-1121,"Art, Drama, and Music Teachers, Postsecondary","2,870",,"59,013",*,"55,623",*,"34,794",*,"71,122",*
27-1019,"Artists and Related Workers, All Other",140,,34.14,,37.06,,19.59,,41.42,
51-2099,"Assemblers and Fabricators, All Other","9,510",,12.00,,11.16,,8.65,,13.68,
27-2021,"Athletes and Sports Competitors","2,190",,"57,392",*,"33,569",*,"20,319",*,"75,929",*
29-9091,"Athletic Trainers",600,,"46,551",*,"42,651",*,"32,112",*,"53,769",*
19-2021,"Atmospheric and Space Scientists",370,,41.06,,42.71,,22.22,,50.48,
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",400,,"73,526",*,"68,229",*,"45,290",*,"87,644",*
27-4011,"Audio and Video Equipment Technicians","2,820",,18.33,,16.92,,11.97,,21.51,
29-1121,Audiologists,750,,32.33,,30.24,,19.56,,38.71,
25-9011,"Audio-Visual Collections Specialists",N/R,,21.93,,22.85,,14.25,,25.77,
49-3021,"Automotive Body and Related Repairers","5,770",,19.35,,17.92,,13.22,,22.41,
49-3022,"Automotive Glass Installers and Repairers",730,,19.60,,19.19,,14.43,,22.19,
49-3023,"Automotive Service Technicians and Mechanics","37,590",,18.24,,17.42,,11.44,,21.64,
49-2091,"Avionics Technicians","1,210",,24.11,,24.22,,16.97,,27.69,
39-6011,"Baggage Porters and Bellhops","5,260",,10.00,,8.35,,7.75,,11.13,
33-3011,Bailiffs,"1,220",,22.24,,21.20,,17.11,,24.80,
51-3011,Bakers,"6,230",,11.97,,11.49,,8.63,,13.65,
39-5011,Barbers,N/R,,10.65,,8.02,,7.76,,12.10,
35-3011,Bartenders,"28,440",,10.25,,8.78,,7.73,,11.50,
49-3091,"Bicycle Repairers",N/R,,12.98,,12.58,,11.10,,13.92,
43-3011,"Bill and Account Collectors","31,340",,15.49,,14.91,,11.74,,17.36,
43-3021,"Billing and Posting Clerks and Machine Operators","21,880",,14.94,,14.48,,11.33,,16.74,
51-5011,"Bindery Workers","1,680",,13.15,,12.84,,9.32,,15.07,
19-1021,"Biochemists and Biophysicists",100,,37.05,,33.48,,26.53,,42.31,
25-1042,"Biological Science Teachers, Postsecondary","1,820",,"69,586",*,"64,253",*,"40,794",*,"83,982",*
19-1029,"Biological Scientists, All Other","2,180",,26.56,,24.11,,16.82,,31.43,
19-4021,"Biological Technicians","1,780",,17.56,,17.41,,12.27,,20.20,
17-2031,"Biomedical Engineers",490,,35.99,,35.56,,23.71,,42.12,
47-2011,Boilermakers,240,,25.47,,24.58,,18.92,,28.75,
51-5012,Bookbinders,150,,24.21,,23.92,,10.64,,30.99,
43-3031,"Bookkeeping, Accounting, and Auditing Clerks","105,580",,15.91,,15.40,,11.24,,18.25,
47-2021,"Brickmasons and Blockmasons","4,500",,18.42,,17.90,,12.79,,21.24,
53-6011,"Bridge and Lock Tenders",220,,16.24,,14.81,,10.53,,19.11,
27-3021,"Broadcast News Analysts",200,,52.81,,42.90,,20.70,,68.88,
27-4012,"Broadcast Technicians","2,250",,17.62,,16.10,,9.86,,21.50,
43-4011,"Brokerage Clerks","2,410",,17.96,,17.12,,13.17,,20.36,
13-2031,"Budget Analysts","2,860",,30.81,,29.27,,20.84,,35.79,
37-2019,"Building Cleaning Workers, All Other",N/R,,13.38,,12.56,,9.60,,15.27,
49-3031,"Bus and Truck Mechanics and Diesel Engine Specialists","9,760",,20.58,,19.86,,15.25,,23.24,
53-3022,"Bus Drivers, School","18,480",,12.18,,11.77,,9.28,,13.63,
53-3021,"Bus Drivers, Transit and Intercity","9,890",,15.93,,15.45,,11.08,,18.34,
13-1199,"Business Operations Specialists, All Other","72,350",,30.06,,27.74,,17.07,,36.57,
25-1011,"Business Teachers, Postsecondary","3,490",,"83,875",*,"78,571",*,"43,326",*,"104,151",*
51-3021,"Butchers and Meat Cutters","7,070",,14.00,,13.82,,9.36,,16.32,
51-7011,"Cabinetmakers and Bench Carpenters","3,930",,15.51,,15.09,,10.65,,17.95,
49-9061,"Camera and Photographic Equipment Repairers",N/R,,16.49,,16.28,,10.64,,19.42,
27-4031,"Camera Operators, Television, Video, and Motion Picture","1,050",,17.06,,16.55,,10.14,,20.53,
53-5021,"Captains, Mates, and Pilots of Water Vessels","3,420",,37.28,,22.92,,12.64,,49.60,
29-2031,"Cardiovascular Technologists and Technicians","5,010",,19.70,,16.94,,11.63,,23.74,
43-5011,"Cargo and Freight Agents","7,710",,15.37,,14.34,,10.12,,18.00,
47-2031,Carpenters,"40,930",,17.39,,16.47,,11.63,,20.27,
47-2041,"Carpet Installers","1,220",,18.57,,15.42,,11.57,,22.07,
17-1021,"Cartographers and Photogrammetrists",400,,34.55,,31.18,,22.60,,40.51,
41-2011,Cashiers,"222,710",,9.11,,8.71,,7.90,,9.71,
47-2051,"Cement Masons and Concrete Finishers","9,520",,15.98,,15.31,,11.51,,18.22,
51-9191,"Cementing and Gluing Machine Operators and Tenders",220,,12.25,,11.38,,8.33,,14.19,
35-1011,"Chefs and Head Cooks","6,200",,23.69,,21.79,,15.50,,27.78,
17-2041,"Chemical Engineers",410,,42.61,,39.13,,26.77,,50.52,
51-9011,"Chemical Equipment Operators and Tenders",760,,19.66,,19.99,,12.66,,23.17,
51-8091,"Chemical Plant and System Operators",800,,21.08,,21.44,,17.38,,22.92,
19-4031,"Chemical Technicians","1,760",,18.83,,17.80,,13.11,,21.70,
25-1052,"Chemistry Teachers, Postsecondary",670,,"72,331",*,"69,059",*,"44,207",*,"86,391",*
19-2031,Chemists,"2,090",,29.35,,27.16,,18.52,,34.77,
11-1011,"Chief Executives","17,470",,86.63,,N/R,,46.35,,106.77,
39-9011,"Child Care Workers","34,710",,9.58,,9.02,,7.97,,10.39,
21-1021,"Child, Family, and School Social Workers","8,720",,19.71,,18.38,,12.70,,23.23,
29-1011,Chiropractors,"1,960",,42.48,,37.96,,21.33,,53.05,
27-2032,Choreographers,N/R,,29.45,,31.19,,21.23,,33.57,
17-3022,"Civil Engineering Technicians","4,460",,24.08,,23.68,,16.19,,28.02,
17-2051,"Civil Engineers","14,750",,38.76,,36.21,,24.65,,45.82,
13-1031,"Claims Adjusters, Examiners, and Investigators","16,110",,26.79,,26.16,,17.39,,31.48,
53-7061,"Cleaners of Vehicles and Equipment","17,950",,10.48,,9.52,,8.20,,11.62,
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",710,,15.87,,14.93,,11.01,,18.30,
21-2011,Clergy,"2,400",,21.36,,19.20,,12.84,,25.63,
19-3031,"Clinical, Counseling, and School Psychologists","3,310",,32.64,,31.40,,22.36,,37.79,
27-2022,"Coaches and Scouts","6,570",,"46,175",*,"40,135",*,"24,125",*,"57,199",*
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","2,890",,14.59,,14.00,,10.44,,16.66,
51-2021,"Coil Winders, Tapers, and Finishers",300,,14.94,,14.40,,10.72,,17.05,
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers","1,610",,14.65,,14.67,,10.60,,16.66,
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food","160,410",,8.78,,8.21,,7.76,,9.28,
27-1021,"Commercial and Industrial Designers",420,,29.57,,28.25,,18.72,,34.99,
49-9092,"Commercial Divers",200,,20.85,,19.15,,16.33,,23.11,
53-2012,"Commercial Pilots","2,870",,"70,161",*,"66,457",*,"37,308",*,"86,587",*
43-2099,"Communications Equipment Operators, All Other",N/R,,14.08,,13.31,,9.12,,16.56,
25-1122,"Communications Teachers, Postsecondary",970,,"63,256",*,"59,191",*,"40,641",*,"74,563",*
21-1099,"Community and Social Service Specialists, All Other","8,410",,19.37,,18.08,,13.45,,22.34,
11-3041,"Compensation and Benefits Managers","1,830",,52.69,,49.85,,32.99,,62.54,
13-1072,"Compensation, Benefits, and Job Analysis Specialists","4,180",,25.44,,23.78,,17.05,,29.64,
13-1041,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation","18,460",,23.80,,20.61,,15.56,,27.92,
15-1011,"Computer and Information Scientists, Research",690,,42.10,,41.78,,30.75,,47.77,
11-3021,"Computer and Information Systems Managers","7,280",,58.52,,54.25,,38.53,,68.51,
17-2061,"Computer Hardware Engineers","2,760",,37.69,,37.33,,25.08,,43.98,
43-9011,"Computer Operators","4,080",,17.27,,16.20,,11.71,,20.06,
15-1021,"Computer Programmers","20,380",,31.78,,30.80,,19.54,,37.90,
25-1021,"Computer Science Teachers, Postsecondary","1,630",,"79,228",*,"73,640",*,"41,216",*,"98,234",*
15-1031,"Computer Software Engineers, Applications","18,520",,40.23,,38.27,,25.18,,47.74,
15-1032,"Computer Software Engineers, Systems Software","11,430",,42.04,,41.66,,28.29,,48.90,
15-1099,"Computer Specialists, All Other","4,430",,30.79,,31.04,,17.20,,37.58,
15-1041,"Computer Support Specialists","33,050",,19.63,,18.51,,13.65,,22.62,
15-1051,"Computer Systems Analysts","21,240",,34.42,,33.52,,22.91,,40.17,
49-2011,"Computer, Automated Teller, and Office Machine Repairers","7,070",,17.75,,17.42,,11.78,,20.74,
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic","2,610",,16.02,,15.63,,11.40,,18.33,
39-6012,Concierges,"2,360",,11.67,,11.22,,8.97,,13.01,
19-1031,"Conservation Scientists",200,,36.15,,36.20,,23.89,,42.28,
47-4011,"Construction and Building Inspectors","6,400",,26.03,,25.07,,18.70,,29.69,
47-4099,"Construction and Related Workers, All Other","12,040",,16.89,,16.22,,11.74,,19.46,
47-2061,"Construction Laborers","44,760",,12.63,,12.17,,9.48,,14.21,
11-9021,"Construction Managers","13,790",,50.52,,42.46,,29.31,,61.13,
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door","1,320",,20.36,,19.49,,13.22,,23.93,
53-7011,"Conveyor Operators and Tenders",480,,14.95,,15.23,,11.33,,16.75,
35-2019,"Cooks, All Other",670,,10.71,,8.52,,7.61,,12.26,
35-2011,"Cooks, Fast Food","21,400",,8.77,,8.31,,7.72,,9.28,
35-2012,"Cooks, Institution and Cafeteria","13,310",,11.79,,11.34,,8.74,,13.32,
35-2013,"Cooks, Private Household",N/R,,11.70,,11.60,,8.76,,13.18,
35-2014,"Cooks, Restaurant","68,650",,11.70,,11.32,,8.87,,13.10,
35-2015,"Cooks, Short Order","4,350",,9.53,,9.01,,8.10,,10.25,
51-9193,"Cooling and Freezing Equipment Operators and Tenders",320,,14.68,,12.93,,10.72,,16.66,
33-3012,"Correctional Officers and Jailers","35,360",,19.03,,17.63,,15.41,,20.85,
43-4021,"Correspondence Clerks",680,,14.66,,14.59,,11.27,,16.35,
13-1051,"Cost Estimators","12,660",,28.14,,27.04,,17.21,,33.62,
39-3092,"Costume Attendants",530,,11.29,,10.18,,7.90,,12.98,
21-1019,"Counselors, All Other","2,880",,17.27,,15.75,,12.00,,19.91,
41-2021,"Counter and Rental Clerks","25,320",,12.39,,11.10,,8.40,,14.38,
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","25,100",,8.95,,8.49,,7.81,,9.52,
43-5021,"Couriers and Messengers","4,870",,12.56,,11.74,,9.03,,14.32,
23-2091,"Court Reporters","1,640",,15.98,,14.67,,9.22,,19.36,
43-4031,"Court, Municipal, and License Clerks","7,320",,15.98,,15.24,,12.08,,17.94,
27-1012,"Craft Artists",230,,12.16,,10.39,,8.43,,14.02,
53-7021,"Crane and Tower Operators","2,430",,21.00,,20.11,,14.03,,24.48,
13-2041,"Credit Analysts","3,210",,29.08,,25.85,,18.10,,34.57,
43-4041,"Credit Authorizers, Checkers, and Clerks","4,030",,18.26,,17.29,,13.40,,20.70,
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary","1,120",,"56,173",*,"60,293",*,"30,245",*,"69,136",*
33-9091,"Crossing Guards","4,140",,11.60,,10.71,,8.62,,13.09,
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","1,550",,15.01,,13.94,,9.78,,17.63,
25-4012,Curators,580,,20.14,,17.87,,11.41,,24.50,
43-4051,"Customer Service Representatives","160,740",,14.43,,13.83,,10.25,,16.52,
51-9031,"Cutters and Trimmers, Hand",340,,12.58,,11.74,,9.85,,13.95,
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders","1,450",,15.48,,14.44,,11.29,,17.57,
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","4,270",,13.68,,13.17,,9.64,,15.69,
27-2031,Dancers,280,,13.83,,9.04,,7.57,,16.96,
43-9021,"Data Entry Keyers","18,080",,12.88,,12.56,,9.90,,14.37,
15-1061,"Database Administrators","5,010",,33.90,,32.67,,22.39,,39.66,
41-9011,"Demonstrators and Product Promoters","3,940",,14.03,,12.36,,9.74,,16.17,
31-9091,"Dental Assistants","15,110",,16.49,,16.44,,12.47,,18.50,
29-2021,"Dental Hygienists","8,980",,28.81,,29.13,,21.51,,32.45,
51-9081,"Dental Laboratory Technicians","3,230",,17.11,,16.14,,10.87,,20.24,
29-1029,"Dentists, All Other Specialists",170,,76.47,,76.14,,44.52,,92.43,
29-1021,"Dentists, General","4,730",,70.43,,64.06,,31.58,,89.85,
27-1029,"Designers, All Other",370,,20.51,,17.15,,12.16,,24.70,
43-9031,"Desktop Publishers","1,030",,15.82,,14.99,,10.90,,18.29,
33-3021,"Detectives and Criminal Investigators","7,440",,31.16,,29.41,,21.26,,36.11,
29-2032,"Diagnostic Medical Sonographers","4,730",,27.28,,27.70,,21.01,,30.41,
29-2051,"Dietetic Technicians",740,,14.88,,13.97,,10.91,,16.87,
29-1031,"Dietitians and Nutritionists","2,920",,26.26,,24.75,,18.56,,30.11,
35-9011,"Dining Room and Cafeteria Attendants and Bartender Helpers","28,390",,8.93,,8.27,,7.76,,9.51,
21-2021,"Directors, Religious Activities and Education","1,090",,17.75,,16.74,,10.99,,21.12,
35-9021,Dishwashers,"42,010",,8.74,,8.34,,7.72,,9.24,
43-5032,"Dispatchers, Except Police, Fire, and Ambulance","9,870",,17.17,,15.68,,11.26,,20.13,
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",500,,9.47,,8.83,,8.12,,10.14,
17-3019,"Drafters, All Other","1,410",,22.25,,21.57,,14.72,,26.01,
53-7031,"Dredge Operators",90,,17.00,,16.94,,13.01,,18.99,
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",280,,13.23,,13.16,,9.52,,15.09,
53-3031,"Driver/Sales Workers","18,070",,12.42,,10.45,,7.85,,14.70,
47-2081,"Drywall and Ceiling Tile Installers","6,200",,16.06,,16.28,,12.18,,17.99,
47-5021,"Earth Drillers, Except Oil and Gas",780,,16.09,,15.52,,11.37,,18.44,
25-1063,"Economics Teachers, Postsecondary",460,,"81,778",*,"78,220",*,"48,750",*,"98,294",*
19-3011,Economists,190,,45.94,,35.24,,23.24,,57.29,
27-3041,Editors,"4,610",,31.62,,25.78,,16.73,,39.06,
11-9039,"Education Administrators, All Other",930,,43.40,,42.43,,27.56,,51.31,
11-9032,"Education Administrators, Elementary and Secondary School","4,450",,"89,912",*,"90,454",*,"68,830",*,"100,453",*
11-9033,"Education Administrators, Postsecondary","1,610",,48.57,,43.42,,31.76,,56.98,
25-1081,"Education Teachers, Postsecondary","1,710",,"67,597",*,"64,747",*,"41,984",*,"80,403",*
25-9099,"Education, Training, and Library Workers, All Other","8,060",,24.72,,22.13,,14.13,,30.01,
21-1012,"Educational, Vocational, and School Counselors","11,180",,26.36,,25.03,,16.40,,31.34,
49-2092,"Electric Motor, Power Tool, and Related Repairers","1,180",,18.01,,17.49,,12.93,,20.54,
17-3023,"Electrical and Electronic Engineering Technicians","9,310",,24.90,,25.29,,16.30,,29.19,
51-2022,"Electrical and Electronic Equipment Assemblers","9,650",,14.22,,13.23,,9.78,,16.44,
17-3012,"Electrical and Electronics Drafters","1,450",,22.83,,21.47,,14.95,,26.77,
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment","1,060",,22.08,,21.18,,16.16,,25.04,
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","5,390",,22.05,,22.53,,14.18,,25.99,
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",890,,28.65,,29.28,,22.11,,31.90,
17-2071,"Electrical Engineers","7,200",,37.86,,37.12,,24.70,,44.43,
49-9051,"Electrical Power-Line Installers and Repairers","4,810",,24.89,,25.68,,17.37,,28.66,
47-2111,Electricians,"32,010",,19.38,,18.52,,14.19,,21.99,
51-2023,"Electromechanical Equipment Assemblers","1,720",,13.72,,13.19,,10.35,,15.40,
17-3024,"Electro-Mechanical Technicians",600,,18.15,,17.41,,13.84,,20.31,
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles","1,030",,14.85,,13.96,,10.82,,16.87,
49-2097,"Electronic Home Entertainment Equipment Installers and Repairers","3,190",,16.65,,15.78,,11.24,,19.36,
17-2072,"Electronics Engineers, Except Computer","4,700",,38.66,,38.23,,26.37,,44.81,
25-2021,"Elementary School Teachers, Except Special Education","74,110",,"50,021",*,"46,863",*,"36,157",*,"56,952",*
47-4021,"Elevator Installers and Repairers","1,700",,23.61,,20.93,,16.20,,27.33,
43-4061,"Eligibility Interviewers, Government Programs","3,390",,17.22,,16.71,,11.71,,19.97,
39-4011,Embalmers,450,,18.84,,19.14,,12.21,,22.17,
13-1061,"Emergency Management Specialists",480,,27.72,,26.11,,17.50,,32.82,
29-2041,"Emergency Medical Technicians and Paramedics","9,000",,15.53,,14.49,,11.06,,17.76,
13-1071,"Employment, Recruitment, and Placement Specialists","15,360",,22.35,,19.96,,14.85,,26.09,
51-2031,"Engine and Other Machine Assemblers",960,,17.33,,17.50,,13.03,,19.49,
11-9041,"Engineering Managers","4,480",,55.72,,54.02,,38.20,,64.48,
25-1032,"Engineering Teachers, Postsecondary","1,670",,"89,746",*,"84,594",*,"52,871",*,"108,184",*
17-3029,"Engineering Technicians, Except Drafters, All Other","2,620",,24.98,,23.74,,15.71,,29.61,
17-2199,"Engineers, All Other","6,840",,42.43,,43.05,,26.94,,50.18,
25-1123,"English Language and Literature Teachers, Postsecondary","2,470",,"63,503",*,"59,638",*,"36,127",*,"77,192",*
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other","1,420",,19.55,,17.87,,10.61,,24.02,
17-3025,"Environmental Engineering Technicians","1,190",,18.64,,17.51,,12.61,,21.66,
17-2081,"Environmental Engineers","3,030",,32.91,,29.32,,20.80,,38.96,
19-4091,"Environmental Science and Protection Technicians, Including Health","1,730",,18.94,,17.82,,14.03,,21.39,
25-1053,"Environmental Science Teachers, Postsecondary",120,,"77,764",*,"68,492",*,"49,596",*,"91,848",*
19-2041,"Environmental Scientists and Specialists, Including Health","6,430",,27.34,,24.02,,17.57,,32.23,
19-1041,Epidemiologists,40,,35.45,,38.09,,24.33,,41.01,
51-9194,"Etchers and Engravers",540,,14.29,,12.72,,10.72,,16.08,
53-7032,"Excavating and Loading Machine and Dragline Operators","3,250",,15.91,,15.40,,11.65,,18.03,
43-6011,"Executive Secretaries and Administrative Assistants","87,060",,19.52,,18.50,,13.83,,22.37,
47-5099,"Extraction Workers, All Other",N/R,,18.96,,17.68,,13.53,,21.67,
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","2,590",,13.78,,12.57,,9.46,,15.94,
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",190,,15.40,,14.54,,10.08,,18.06,
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","2,950",,14.18,,13.86,,10.31,,16.11,
51-6092,"Fabric and Apparel Patternmakers",N/R,,17.14,,15.45,,11.36,,20.03,
45-4021,Fallers,110,,18.25,,17.98,,14.36,,20.20,
29-1062,"Family and General Practitioners","4,650",,67.09,,65.97,,30.81,,85.22,
25-9021,"Farm and Home Management Advisors",760,,22.45,,20.35,,12.70,,27.32,
49-3041,"Farm Equipment Mechanics",790,,17.14,,16.49,,11.26,,20.08,
45-1012,"Farm Labor Contractors",320,,17.78,,16.48,,12.53,,20.42,
11-9011,"Farm, Ranch, and Other Agricultural Managers",90,,34.27,,34.25,,24.74,,39.05,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","26,370",,9.77,,8.78,,7.90,,10.70,
45-2093,"Farmworkers, Farm and Ranch Animals",970,,11.49,,10.07,,8.40,,13.04,
27-1022,"Fashion Designers",380,,25.24,,21.46,,13.66,,31.02,
47-4031,"Fence Erectors","1,430",,14.28,,12.60,,9.85,,16.50,
51-2091,"Fiberglass Laminators and Fabricators","2,520",,14.61,,14.60,,10.31,,16.77,
43-4071,"File Clerks","19,730",,12.81,,12.18,,9.51,,14.45,
27-4032,"Film and Video Editors","1,000",,20.92,,18.50,,11.18,,25.79,
13-2051,"Financial Analysts","7,300",,33.47,,30.13,,20.73,,39.84,
13-2061,"Financial Examiners",570,,39.55,,37.76,,24.43,,47.11,
11-3031,"Financial Managers","17,420",,54.95,,49.59,,31.01,,66.93,
13-2099,"Financial Specialists, All Other","10,830",,28.85,,25.87,,18.49,,34.04,
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",750,,18.70,,16.50,,9.59,,23.26,
33-2011,"Fire Fighters","23,070",,23.05,,21.94,,14.80,,27.16,
33-2021,"Fire Inspectors and Investigators","1,000",,27.91,,26.64,,19.65,,32.05,
47-1011,"First-Line Supervisors/Managers of Construction Trades and Extraction Workers","43,420",,28.82,,27.18,,19.02,,33.72,
33-1011,"First-Line Supervisors/Managers of Correctional Officers","2,310",,28.31,,26.19,,20.41,,32.25,
45-1011,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers",980,,21.39,,19.58,,13.71,,25.23,
33-1021,"First-Line Supervisors/Managers of Fire Fighting and Prevention Workers","2,600",,38.39,,37.28,,27.02,,44.08,
35-1012,"First-Line Supervisors/Managers of Food Preparation and Serving Workers","41,840",,16.52,,15.67,,11.24,,19.17,
53-1021,"First-Line Supervisors/Managers of Helpers, Laborers, and Material Movers, Hand","6,680",,22.95,,21.60,,15.29,,26.79,
37-1011,"First-Line Supervisors/Managers of Housekeeping and Janitorial Workers","8,200",,17.26,,16.00,,11.38,,20.20,
37-1012,"First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers","7,310",,21.24,,19.76,,14.18,,24.77,
49-1011,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers","22,490",,28.73,,27.87,,19.18,,33.51,
41-1012,"First-Line Supervisors/Managers of Non-Retail Sales Workers","17,350",,42.99,,35.71,,23.10,,52.95,
43-1011,"First-Line Supervisors/Managers of Office and Administrative Support Workers","78,620",,22.85,,21.60,,14.74,,26.91,
39-1021,"First-Line Supervisors/Managers of Personal Service Workers","8,710",,20.14,,18.52,,12.22,,24.09,
33-1012,"First-Line Supervisors/Managers of Police and Detectives","5,010",,36.71,,34.85,,24.04,,43.05,
51-1011,"First-Line Supervisors/Managers of Production and Operating Workers","19,610",,26.62,,25.50,,17.11,,31.38,
41-1011,"First-Line Supervisors/Managers of Retail Sales Workers","69,320",,21.08,,18.66,,12.82,,25.22,
53-1031,"First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators","10,660",,26.86,,25.64,,17.91,,31.33,
33-1099,"First-Line Supervisors/Managers, Protective Service Workers, All Other","2,740",,23.62,,21.48,,14.02,,28.43,
33-3031,"Fish and Game Wardens",400,,19.20,,17.52,,16.64,,20.47,
39-9031,"Fitness Trainers and Aerobics Instructors","11,320",,16.50,,14.53,,8.82,,20.34,
39-6031,"Flight Attendants","4,610",,N/R,,N/R,,N/R,,N/R,
