"Florida Occupational Employment and Wages",,,,,,,,,,,
"Florida - Statewide",,,,,,,,,,,
Occupational,,2012,,"(2013 wage estimates in dollars)",,,,,,,
Code,Title,Employment,,Mean,,Median,,Entry**,,Exp***,
25-1011,"Business Teachers, Postsecondary","4,490",,"88,908",*,"81,142",*,"46,559",*,"110,082",*
51-3021,"Butchers and Meat Cutters","8,830",,13.80,,13.80,,10.13,,15.64,
51-7011,"Cabinetmakers and Bench Carpenters","3,550",,15.31,,14.67,,10.14,,17.89,
49-9061,"Camera and Photographic Equipment Repairers",N/R,,19.60,,17.29,,15.99,,21.40,
27-4031,"Camera Operators, Television, Video, and Motion Picture","1,120",,17.61,,16.40,,11.53,,20.66,
53-5021,"Captains, Mates, and Pilots of Water Vessels","2,470",,30.97,,24.78,,12.11,,40.40,
29-2031,"Cardiovascular Technologists and Technicians","5,940",,22.50,,21.59,,12.75,,27.39,
43-5011,"Cargo and Freight Agents","8,740",,20.64,,19.63,,12.08,,24.91,
47-2031,Carpenters,"30,890",,18.01,,16.97,,11.78,,21.12,
47-2041,"Carpet Installers",890,,15.33,,13.83,,10.58,,17.72,
17-1021,"Cartographers and Photogrammetrists",540,,42.08,,47.49,,26.74,,49.74,
41-2011,Cashiers,"204,480",,9.34,,9.07,,8.34,,9.83,
47-2051,"Cement Masons and Concrete Finishers","9,140",,15.05,,14.62,,10.92,,17.11,
51-9191,"Cementing and Gluing Machine Operators and Tenders",250,,14.71,,14.26,,9.81,,17.17,
35-1011,"Chefs and Head Cooks","5,560",,24.07,,22.80,,14.97,,28.62,
17-2041,"Chemical Engineers",440,,31.46,,23.79,,21.23,,36.56,
51-9011,"Chemical Equipment Operators and Tenders","2,080",,18.93,,17.96,,13.18,,21.81,
51-8091,"Chemical Plant and System Operators",930,,22.59,,21.92,,16.37,,25.69,
19-4031,"Chemical Technicians","2,310",,19.85,,18.76,,13.33,,23.11,
25-1052,"Chemistry Teachers, Postsecondary",980,,"84,833",*,"82,094",*,"50,793",*,"101,852",*
19-2031,Chemists,"2,260",,32.09,,28.76,,19.26,,38.51,
11-1011,"Chief Executives","12,610",,95.37,,N/R,,51.50,,117.31,
39-9011,"Child Care Workers","36,550",,9.69,,9.25,,8.23,,10.42,
21-1021,"Child, Family, and School Social Workers","8,270",,20.26,,18.87,,13.42,,23.69,
29-1011,Chiropractors,"1,820",,37.90,,29.02,,19.62,,47.04,
27-2032,Choreographers,60,,19.80,,17.15,,10.68,,24.36,
17-3022,"Civil Engineering Technicians","3,230",,22.89,,22.09,,14.28,,27.20,
17-2051,"Civil Engineers","13,360",,40.63,,38.52,,27.12,,47.39,
13-1031,"Claims Adjusters, Examiners, and Investigators","20,360",,27.99,,26.79,,18.81,,32.59,
53-7061,"Cleaners of Vehicles and Equipment","18,520",,9.98,,9.22,,8.30,,10.81,
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",310,,13.42,,13.05,,9.81,,15.22,
21-2011,Clergy,"1,940",,20.94,,19.43,,12.45,,25.19,
19-3031,"Clinical, Counseling, and School Psychologists","2,690",,33.47,,32.23,,22.80,,38.82,
27-2022,"Coaches and Scouts","6,850",,"49,061",*,"39,436",*,"24,258",*,"61,463",*
51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","2,100",,14.75,,14.17,,9.89,,17.17,
51-2021,"Coil Winders, Tapers, and Finishers",280,,13.42,,12.82,,8.70,,15.78,
49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers","1,670",,13.18,,12.40,,9.34,,15.11,
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food","177,490",,8.87,,8.86,,8.23,,9.19,
27-1021,"Commercial and Industrial Designers",570,,27.59,,26.89,,18.22,,32.28,
49-9092,"Commercial Divers",200,,17.78,,16.44,,12.18,,20.58,
53-2012,"Commercial Pilots","3,090",,"81,877",*,"70,562",*,"40,602",*,"102,513",*
43-2099,"Communications Equipment Operators, All Other",370,,16.49,,15.19,,13.10,,18.19,
25-1122,"Communications Teachers, Postsecondary","1,680",,"73,759",*,"71,900",*,"45,559",*,"87,859",*
21-1099,"Community and Social Service Specialists, All Other","10,160",,19.60,,18.27,,14.06,,22.37,
21-1094,"Community Health Workers","1,660",,16.34,,15.61,,11.23,,18.91,
11-3111,"Compensation and Benefits Managers",580,,54.82,,49.99,,32.96,,65.76,
13-1141,"Compensation, Benefits, and Job Analysis Specialists","3,030",,28.49,,27.31,,19.01,,33.23,
13-1041,"Compliance Officers, Except Agriculture, Construction, Health and Safety, and Transportation","12,940",,28.41,,27.23,,17.25,,33.98,
15-1111,"Computer and Information Scientists, Research",510,,45.77,,43.84,,33.25,,52.03,
11-3021,"Computer and Information Systems Managers","8,210",,63.93,,59.23,,43.17,,74.32,
17-2061,"Computer Hardware Engineers","1,860",,47.53,,46.89,,34.74,,53.93,
15-1143,"Computer Network Architects","14,430",,33.94,,30.93,,21.79,,40.01,
15-1152,"Computer Network Support Specialists","7,920",,27.06,,24.78,,16.60,,32.30,
15-1199,"Computer Occupations, All Other","4,560",,35.49,,36.22,,21.90,,42.28,
43-9011,"Computer Operators","2,670",,18.70,,17.77,,12.04,,22.03,
15-1131,"Computer Programmers","17,050",,36.36,,34.45,,21.68,,43.71,
25-1021,"Computer Science Teachers, Postsecondary","1,810",,"86,581",*,"78,190",*,"47,647",*,"106,049",*
15-1132,"Computer Software Engineers, Applications","21,740",,39.02,,38.28,,24.56,,46.25,
15-1133,"Computer Software Engineers, Systems Software","12,580",,44.83,,43.69,,30.97,,51.77,
15-1151,"Computer Support Specialists","25,240",,21.55,,20.27,,14.08,,25.29,
15-1121,"Computer Systems Analysts","20,640",,42.96,,41.08,,28.69,,50.09,
49-2011,"Computer, Automated Teller, and Office Machine Repairers","7,930",,17.22,,16.13,,11.28,,20.18,
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic","2,540",,16.93,,16.53,,12.14,,19.32,
39-6012,Concierges,"2,640",,12.44,,11.72,,9.77,,13.77,
19-1031,"Conservation Scientists",200,,40.37,,40.45,,27.10,,47.00,
47-4011,"Construction and Building Inspectors","5,810",,25.92,,25.32,,17.71,,30.03,
47-4099,"Construction and Related Workers, All Other","6,220",,18.09,,17.46,,12.33,,20.97,
47-2061,"Construction Laborers","41,080",,13.16,,12.43,,9.17,,15.15,
11-9021,"Construction Managers","14,710",,43.98,,39.09,,25.79,,53.07,
47-5041,"Continuous Mining Machine Operators",190,,21.93,,21.83,,16.88,,24.46,
49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door","1,440",,20.78,,19.53,,13.92,,24.21,
53-7011,"Conveyor Operators and Tenders","1,170",,14.81,,14.45,,12.16,,16.13,
35-2019,"Cooks, All Other",640,,12.40,,11.27,,8.20,,14.50,
35-2011,"Cooks, Fast Food","22,500",,9.22,,9.05,,8.24,,9.71,
35-2012,"Cooks, Institution and Cafeteria","13,330",,11.83,,11.38,,8.91,,13.29,
35-2013,"Cooks, Private Household",40,,11.57,,10.89,,9.51,,12.60,
35-2014,"Cooks, Restaurant","82,990",,11.52,,11.04,,8.87,,12.85,
35-2015,"Cooks, Short Order","3,450",,10.43,,9.97,,8.26,,11.52,
51-9193,"Cooling and Freezing Equipment Operators and Tenders",150,,15.47,,15.60,,11.11,,17.65,
33-3012,"Correctional Officers and Jailers","32,190",,20.06,,17.88,,16.05,,22.07,
43-4021,"Correspondence Clerks",310,,15.75,,15.33,,12.36,,17.46,
13-1051,"Cost Estimators","10,380",,28.30,,26.01,,17.66,,33.60,
39-3092,"Costume Attendants",630,,12.25,,10.40,,8.29,,14.22,
21-1019,"Counselors, All Other","2,600",,18.35,,16.90,,11.21,,21.93,
41-2021,"Counter and Rental Clerks","28,370",,11.50,,10.36,,8.34,,13.09,
35-3022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop","19,850",,9.09,,8.89,,8.25,,9.52,
43-5021,"Couriers and Messengers","4,360",,13.09,,12.14,,9.31,,14.99,
23-2091,"Court Reporters","1,510",,18.47,,16.97,,10.06,,22.67,
43-4031,"Court, Municipal, and License Clerks","5,750",,16.21,,15.42,,12.17,,18.23,
27-1012,"Craft Artists",310,,14.74,,11.66,,8.31,,17.96,
53-7021,"Crane and Tower Operators","1,550",,23.01,,23.11,,15.44,,26.80,
13-2041,"Credit Analysts","3,050",,29.85,,28.95,,18.84,,35.36,
43-4041,"Credit Authorizers, Checkers, and Clerks","3,620",,17.27,,16.94,,13.20,,19.30,
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",960,,"69,742",*,"69,285",*,"42,846",*,"83,191",*
33-9091,"Crossing Guards","4,390",,11.40,,10.84,,9.19,,12.50,
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",890,,15.03,,14.83,,10.67,,17.21,
25-4012,Curators,430,,26.50,,23.20,,15.78,,31.85,
43-4051,"Customer Service Representatives","183,320",,14.21,,13.44,,9.66,,16.49,
51-9031,"Cutters and Trimmers, Hand",380,,11.08,,10.51,,8.28,,12.48,
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders","1,380",,13.18,,12.39,,9.13,,15.19,
51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","3,540",,13.91,,13.34,,9.88,,15.92,
27-2031,Dancers,600,,14.16,,12.38,,8.43,,17.03,
43-9021,"Data Entry Keyers","18,110",,13.30,,12.90,,9.75,,15.06,
15-1141,"Database Administrators","5,950",,37.11,,36.64,,23.91,,43.71,
41-9011,"Demonstrators and Product Promoters","3,640",,14.85,,13.77,,9.74,,17.41,
31-9091,"Dental Assistants","16,270",,16.54,,16.51,,12.27,,18.68,
29-2021,"Dental Hygienists","10,250",,29.05,,30.33,,21.03,,33.06,
51-9081,"Dental Laboratory Technicians","2,650",,18.35,,16.91,,11.39,,21.83,
29-1029,"Dentists, All Other Specialists",150,,78.09,,79.41,,42.79,,95.74,
29-1021,"Dentists, General","5,240",,73.50,,63.57,,38.97,,90.78,
27-1029,"Designers, All Other",240,,21.72,,17.30,,9.74,,27.71,
43-9031,"Desktop Publishers","1,120",,15.79,,15.99,,10.07,,18.65,
33-3021,"Detectives and Criminal Investigators","7,290",,34.85,,30.88,,21.15,,41.70,
29-2032,"Diagnostic Medical Sonographers","4,720",,28.80,,28.98,,21.51,,32.44,
29-2051,"Dietetic Technicians",670,,14.16,,13.26,,9.57,,16.46,
29-1031,"Dietitians and Nutritionists","3,180",,27.74,,25.85,,18.15,,32.55,
35-9011,"Dining Room and Cafeteria Attendants and Bartender Helpers","35,020",,9.09,,8.86,,8.23,,9.52,
21-2021,"Directors, Religious Activities and Education","1,200",,16.95,,14.97,,9.67,,20.58,
35-9021,Dishwashers,"42,610",,8.88,,8.91,,8.24,,9.20,
43-5032,"Dispatchers, Except Police, Fire, and Ambulance","9,480",,16.73,,15.43,,11.28,,19.46,
41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",180,,16.28,,15.61,,9.90,,19.47,
17-3019,"Drafters, All Other",570,,19.75,,18.64,,13.31,,22.97,
53-7031,"Dredge Operators",180,,19.72,,17.30,,13.51,,22.82,
51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",200,,14.18,,12.17,,8.57,,16.98,
53-3031,"Driver/Sales Workers","19,720",,13.16,,11.04,,8.32,,15.58,
47-2081,"Drywall and Ceiling Tile Installers","4,590",,16.44,,16.24,,11.90,,18.72,
47-5021,"Earth Drillers, Except Oil and Gas",620,,17.66,,16.95,,13.02,,19.98,
25-1063,"Economics Teachers, Postsecondary",500,,"92,961",*,"87,196",*,"55,281",*,"111,802",*
19-3011,Economists,210,,43.68,,39.70,,24.45,,53.30,
27-3041,Editors,"3,700",,33.24,,29.02,,20.37,,39.66,
11-9039,"Education Administrators, All Other",940,,46.49,,42.41,,28.67,,55.40,
11-9032,"Education Administrators, Elementary and Secondary School","4,930",,"90,719",*,"89,905",*,"67,489",*,"102,333",*
11-9033,"Education Administrators, Postsecondary","1,250",,52.79,,49.66,,36.13,,61.12,
11-9031,"Education Administrators, Preschool and Child Care Center/Program",470,,32.25,,29.47,,24.14,,36.31,
25-1081,"Education Teachers, Postsecondary","2,170",,"79,548",*,"76,697",*,"52,273",*,"93,186",*
25-9099,"Education, Training, and Library Workers, All Other","7,660",,25.94,,23.54,,14.16,,31.83,
21-1012,"Educational, Vocational, and School Counselors","9,670",,26.75,,25.26,,17.80,,31.23,
49-2092,"Electric Motor, Power Tool, and Related Repairers",850,,17.95,,17.46,,11.95,,20.95,
17-3023,"Electrical and Electronic Engineering Technicians","6,870",,26.03,,26.29,,17.63,,30.23,
51-2022,"Electrical and Electronic Equipment Assemblers","9,770",,14.92,,13.65,,9.77,,17.49,
17-3012,"Electrical and Electronics Drafters","1,190",,25.13,,23.81,,18.08,,28.66,
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",940,,22.38,,21.05,,15.19,,25.97,
49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment","3,660",,24.57,,24.54,,18.04,,27.83,
49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","1,150",,27.14,,28.08,,18.32,,31.56,
17-2071,"Electrical Engineers","7,270",,41.96,,40.36,,28.33,,48.77,
49-9051,"Electrical Power-Line Installers and Repairers","6,650",,26.03,,26.51,,17.98,,30.07,
47-2111,Electricians,"28,050",,19.41,,18.27,,13.94,,22.14,
51-2023,"Electromechanical Equipment Assemblers","1,300",,15.71,,15.16,,11.78,,17.68,
17-3024,"Electro-Mechanical Technicians",440,,18.11,,16.82,,13.11,,20.62,
49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",510,,14.88,,14.51,,10.83,,16.92,
49-2097,"Electronic Home Entertainment Equipment Installers and Repairers","2,880",,16.24,,15.52,,11.04,,18.85,
17-2072,"Electronics Engineers, Except Computer","5,200",,41.41,,40.47,,29.63,,47.30,
25-2021,"Elementary School Teachers, Except Special Education","69,310",,"49,865",*,"46,248",*,"37,429",*,"56,082",*
47-4021,"Elevator Installers and Repairers",930,,27.32,,26.23,,16.41,,32.77,
43-4061,"Eligibility Interviewers, Government Programs","3,370",,18.15,,18.49,,11.87,,21.29,
39-4011,Embalmers,250,,20.04,,18.77,,14.30,,22.91,
11-9161,"Emergency Management Directors",150,,41.01,,38.49,,29.17,,46.94,
29-2041,"Emergency Medical Technicians and Paramedics","9,180",,15.99,,14.88,,11.37,,18.30,
13-1071,"Employment, Recruitment, and Placement Specialists","22,360",,26.11,,23.61,,16.19,,31.07,
51-2031,"Engine and Other Machine Assemblers",420,,15.45,,15.37,,11.49,,17.42,
11-9041,"Engineering Managers","6,900",,57.41,,55.45,,38.14,,67.05,
25-1032,"Engineering Teachers, Postsecondary","1,480",,"111,491",*,"110,852",*,"68,355",*,"133,058",*
17-3029,"Engineering Technicians, Except Drafters, All Other","2,030",,28.05,,28.93,,17.96,,33.10,
17-2199,"Engineers, All Other","4,660",,43.61,,44.46,,26.75,,52.04,
25-1123,"English Language and Literature Teachers, Postsecondary","3,030",,"72,767",*,"70,005",*,"43,444",*,"87,428",*
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other","4,480",,14.08,,11.04,,8.44,,16.90,
39-3099,"Entertainment Attendants and Related Workers, All Other",930,,12.13,,12.23,,10.34,,13.01,
17-3025,"Environmental Engineering Technicians",650,,20.04,,18.36,,12.91,,23.59,
17-2081,"Environmental Engineers","2,530",,34.42,,29.57,,19.45,,41.91,
19-4091,"Environmental Science and Protection Technicians, Including Health","1,900",,17.98,,17.24,,13.65,,20.14,
25-1053,"Environmental Science Teachers, Postsecondary",150,,"88,739",*,"83,849",*,"48,495",*,"108,860",*
19-2041,"Environmental Scientists and Specialists, Including Health","5,460",,26.35,,24.18,,17.53,,30.75,
19-1041,Epidemiologists,30,,28.71,,25.57,,19.52,,33.31,
51-9194,"Etchers and Engravers",170,,13.22,,12.95,,8.73,,15.47,
53-7032,"Excavating and Loading Machine and Dragline Operators","2,140",,17.24,,16.73,,12.89,,19.42,
43-6011,"Executive Secretaries and Administrative Assistants","49,720",,21.00,,19.90,,15.03,,23.99,
29-1128,"Exercise Physiologists",420,,22.01,,20.86,,16.27,,24.88,
47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",N/R,,23.32,,24.95,,18.92,,25.52,
51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","1,380",,14.67,,13.70,,9.76,,17.13,
51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",280,,18.87,,20.16,,13.12,,21.74,
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","1,770",,15.32,,14.57,,10.42,,17.76,
51-6092,"Fabric and Apparel Patternmakers",110,,22.56,,23.70,,13.62,,27.03,
45-4021,Fallers,190,,19.77,,20.51,,13.78,,22.75,
29-1062,"Family and General Practitioners","8,750",,93.55,,90.21,,50.64,,115.00,
25-9021,"Farm and Home Management Advisors",650,,24.75,,24.36,,12.62,,30.80,
49-3041,"Farm Equipment Mechanics",500,,17.03,,16.34,,11.93,,19.59,
13-1074,"Farm Labor Contractors",150,,20.40,,17.80,,10.08,,25.57,
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",N/R,,33.34,,33.22,,24.50,,37.75,
45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","24,110",,9.46,,9.00,,8.19,,10.10,
45-2093,"Farmworkers, Farm and Ranch Animals",900,,11.33,,10.63,,8.22,,12.88,
27-1022,"Fashion Designers",170,,32.22,,23.44,,16.00,,40.34,
47-4031,"Fence Erectors","1,150",,14.53,,13.87,,10.02,,16.78,
51-2091,"Fiberglass Laminators and Fabricators","1,690",,14.99,,14.38,,10.94,,17.01,
43-4071,"File Clerks","14,880",,13.65,,13.05,,9.83,,15.56,
27-4032,"Film and Video Editors","2,350",,18.66,,19.49,,12.88,,21.55,
13-2051,"Financial Analysts","8,720",,35.31,,32.27,,23.49,,41.21,
43-3099,"Financial Clerks, All Other","2,570",,18.34,,17.62,,14.01,,20.52,
13-2061,"Financial Examiners",670,,43.50,,40.64,,28.79,,50.86,
11-3031,"Financial Managers","16,640",,60.98,,55.22,,35.52,,73.72,
13-2099,"Financial Specialists, All Other","8,390",,28.58,,25.66,,18.04,,33.86,
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",880,,15.84,,13.08,,8.42,,19.56,
33-2011,"Fire Fighters","23,780",,24.99,,23.29,,15.26,,29.86,
33-2021,"Fire Inspectors and Investigators",870,,30.01,,29.06,,20.49,,34.77,
47-1011,"First-Line Supervisors/Managers of Construction Trades and Extraction Workers","25,640",,28.04,,26.60,,18.49,,32.80,
33-1011,"First-Line Supervisors/Managers of Correctional Officers","2,040",,29.09,,26.54,,20.11,,33.57,
45-1011,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers","1,430",,21.19,,20.55,,13.82,,24.88,
33-1021,"First-Line Supervisors/Managers of Fire Fighting and Prevention Workers","3,170",,38.97,,38.02,,26.22,,45.33,
35-1012,"First-Line Supervisors/Managers of Food Preparation and Serving Workers","49,940",,16.20,,14.80,,10.91,,18.84,
53-1021,"First-Line Supervisors/Managers of Helpers, Laborers, and Material Movers, Hand","7,560",,22.36,,20.85,,14.76,,26.16,
37-1011,"First-Line Supervisors/Managers of Housekeeping and Janitorial Workers","9,830",,16.54,,14.99,,10.98,,19.34,
37-1012,"First-Line Supervisors/Managers of Landscaping, Lawn Service, and Groundskeeping Workers","9,040",,19.75,,18.05,,13.08,,23.08,
49-1011,"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers","24,000",,28.65,,27.70,,18.91,,33.53,
41-1012,"First-Line Supervisors/Managers of Non-Retail Sales Workers","18,720",,42.06,,36.04,,21.98,,52.11,
43-1011,"First-Line Supervisors/Managers of Office and Administrative Support Workers","76,610",,24.45,,23.01,,16.07,,28.64,
39-1021,"First-Line Supervisors/Managers of Personal Service Workers","8,060",,19.85,,18.26,,12.62,,23.48,
33-1012,"First-Line Supervisors/Managers of Police and Detectives","3,740",,42.42,,41.08,,28.20,,49.53,
51-1011,"First-Line Supervisors/Managers of Production and Operating Workers","20,610",,26.81,,25.01,,17.79,,31.32,
41-1011,"First-Line Supervisors/Managers of Retail Sales Workers","83,990",,20.46,,18.52,,13.36,,24.01,
